model,maxlen,model_feature,feature,n_grams,rank_test_score,mean_test_score,std_test_score
LSVM,300,"LSVM_postg=(1, 1)",postg,"(1, 1)",1,0.7702058828381142,0.03221421746313115
LogReg,0,"LogReg_postg=(1, 5)",postg,"(1, 5)",1,0.7779247442916108,0.051743187578536964
LSVM,300,"LSVM_words=(1, 4)",words,"(1, 4)",1,0.7785038954430374,0.02725985128078059
LogReg,0,"LogReg_chars=(1, 4)",chars,"(1, 4)",1,0.7802772744259932,0.05077743718625765
LSVM,0,"LSVM_words=(1, 5)",words,"(1, 5)",1,0.7772871288804567,0.048156239575090784
LogReg,300,"LogReg_words=(1, 1)",words,"(1, 1)",1,0.7730758901685908,0.02843444267490941
LSVM,0,"LSVM_chars=(1, 2)",chars,"(1, 2)",1,0.7725209329052146,0.049832801854304526
LSVM,300,"LSVM_chars=(1, 3)",chars,"(1, 3)",1,0.7713838967630866,0.028097472795571597
LogReg,200,"LogReg_words=(1, 3)",words,"(1, 3)",2,0.7762669735365644,0.030232151034144887
LSVM,200,"LSVM_words=(1, 3)",words,"(1, 3)",2,0.7819981091453855,0.026895968867531077
LSVM,200,"LSVM_postg=(1, 3)",postg,"(1, 3)",2,0.768735347048203,0.033411308822630666
LogReg,0,"LogReg_chars=(1, 3)",chars,"(1, 3)",2,0.7796914317542416,0.049780689714292496
LogReg,0,"LogReg_postg=(1, 2)",postg,"(1, 2)",2,0.7764452454416348,0.05274728637124176
LogReg,300,"LogReg_words=(1, 2)",words,"(1, 2)",2,0.7724933832379832,0.03289739908693157
LSVM,0,"LSVM_postg=(1, 5)",postg,"(1, 5)",2,0.7645628550686812,0.045197994768739404
LogReg,300,"LogReg_chars=(1, 5)",chars,"(1, 5)",2,0.774116298012632,0.0362230510117613
LogReg,200,"LogReg_postg=(1, 4)",postg,"(1, 4)",2,0.7795638752057487,0.028389515196469248
LSVM,300,"LSVM_chars=(1, 4)",chars,"(1, 4)",2,0.7698813658382881,0.028420106244592916
LSVM,0,"LSVM_chars=(1, 1)",chars,"(1, 1)",2,0.7708081226868286,0.05033309470032186
LSVM,300,"LSVM_postg=(1, 2)",postg,"(1, 2)",3,0.7603007606046703,0.03537033044501774
LSVM,300,"LSVM_chars=(1, 5)",chars,"(1, 5)",3,0.7686740433321166,0.026665871616379556
LogReg,300,"LogReg_chars=(1, 2)",chars,"(1, 2)",3,0.7732805447760951,0.03432064752696564
LSVM,200,"LSVM_words=(1, 2)",words,"(1, 2)",3,0.7809278470424904,0.02755352531002441
LogReg,200,"LogReg_postg=(1, 3)",postg,"(1, 3)",3,0.7790686944677874,0.02757695792175565
LogReg,300,"LogReg_words=(1, 5)",words,"(1, 5)",4,0.7629613036563201,0.03687524101499588
LogReg,0,"LogReg_words=(1, 4)",words,"(1, 4)",4,0.7590736432353797,0.048722731668281914
LogReg,300,"LogReg_chars=(1, 1)",chars,"(1, 1)",5,0.7683380830903703,0.03000223312208966
LSVM,200,"LSVM_words=(1, 1)",words,"(1, 1)",5,0.7730232110200476,0.025804035624557194
LogReg,200,"LogReg_postg=(1, 1)",postg,"(1, 1)",5,0.7740093149125824,0.026164512227139478
LSVM,200,"LSVM_postg=(1, 4)",postg,"(1, 4)",5,0.7654549500722292,0.0320992913971679
